subjectID,stage,position,mean_angle,angle_sd,angle_variance
lo11,5,HEAD,77.90086490517866,3.604533196820599,12.992659566981725
lo11,6,HEAD,78.88487794489967,2.8735345639248537,8.257200890070798
lo11,7,HEAD,77.69839295601206,4.599811873594225,21.15826927245842
lo11,1,PELVIS,45.16309419900164,0.9438901856972675,0.8909286826556221
lo11,2,PELVIS,44.36808711484369,0.8279636522902325,0.6855238095137811
lo11,3,PELVIS,45.783414429406555,0.5938092649541508,0.35260944314538883
lo11,4,PELVIS,44.60427991572768,0.9281418016337941,0.8614472039400253
lo11,5,PELVIS,44.652611177418656,0.7084831106907323,0.5019483181340164
lo11,6,PELVIS,44.34574976559219,0.9848423674915386,0.9699144888063388
lo11,7,PELVIS,45.053815394854325,1.3838137074944343,1.9149403770494917
lo11,1,TORSO,33.131821903881615,1.3390949744120235,1.7931753504955377
lo11,2,TORSO,31.79336575422286,1.4411063243770184,2.07678743815944
lo11,3,TORSO,32.7289428851192,1.514320185337777,2.2931656237214395
lo11,4,TORSO,31.094052646955543,1.5722659622295772,2.472020255985698
lo11,5,TORSO,30.898770132173876,1.5576880496460765,2.4263920600101976
lo11,6,TORSO,32.23505338319583,1.4715791307373383,2.16554513802166
lo11,7,TORSO,35.6870939390924,1.3463677051724152,1.8127059975312354
lo18,1,HEAD,84.49637171169725,2.4041340920967103,5.779860732781673
lo18,2,HEAD,84.52335282842324,2.8889116349934785,8.345810434800693
lo18,3,HEAD,82.56173179826258,2.4665167809176314,6.083705030548275
lo18,4,HEAD,81.10410239106855,1.4721319627807479,2.167172515840697
lo18,5,HEAD,81.2211327494239,1.6971986409546733,2.88048322685839
lo18,6,HEAD,80.30662317893231,1.7384293753887108,3.022136693214383
lo18,7,HEAD,73.32645564681742,2.2189626503822724,4.923795243791519
lo18,8,HEAD,66.07156656233987,2.1772180450139196,4.740278415534234
lo18,1,PELVIS,58.123665377777215,0.3570382841792084,0.12747633636963318
lo18,2,PELVIS,56.20374362169396,1.9794594626059097,3.918259764100077
lo18,3,PELVIS,58.10244916609985,0.48333558263636417,0.23361328544243362
lo18,4,PELVIS,58.33666343955725,0.4428447566335663,0.19611147847784258
lo18,5,PELVIS,58.91779934022999,0.47604820165404277,0.2266218902980482
lo18,6,PELVIS,56.84121362757878,0.9702969265533772,0.9414761256789299
lo18,7,PELVIS,53.2820335534721,1.232317535358716,1.51860650795258
lo18,8,PELVIS,50.917227760311455,1.5181799975739265,2.3048705050335676
lo18,1,TORSO,63.93583701007903,1.7889905477778445,3.2004871800384724
lo18,2,TORSO,63.389239474404356,2.407589704184905,5.796488183697158
lo18,3,TORSO,62.52613793598275,1.8803791786138149,3.535825855364365
lo18,4,TORSO,61.53934703598924,1.8300273637033992,3.3490001519032138
lo18,5,TORSO,60.49480887136802,1.6753786267106523,2.8068935428388713
lo18,6,TORSO,57.63876497062269,1.428052932149276,2.039335177020145
lo18,7,TORSO,54.292271366210514,1.1980337768669114,1.4352849305139963
lo18,8,TORSO,50.1508960159639,1.6366304909849605,2.6785593640216727
lo20,1,HEAD,74.93836853685136,9.001866326504368,81.03359736025325
lo20,2,HEAD,79.7762651536166,4.748798216500787,22.551084501041053
lo20,3,HEAD,81.72975258400305,3.3525309018592155,11.239463447920965
lo20,4,HEAD,78.46164041125508,5.01518963599796,25.152127085021355
